-1 -0.9818
-0.99 -0.96
-0.98 -0.9514
-0.97 -0.9354
-0.96 -0.9276
-0.95 -0.9016
-0.94 -0.903
-0.93 -0.89
-0.92 -0.8814
-0.91 -0.872
-0.9 -0.8652
-0.89 -0.8392
-0.88 -0.835
-0.87 -0.8224
-0.86 -0.8054
-0.85 -0.8112
-0.84 -0.7818
-0.83 -0.7864
-0.82 -0.7774
-0.81 -0.7702
-0.8 -0.7464
-0.79 -0.7352
-0.78 -0.7278
-0.77 -0.7124
-0.76 -0.7154
-0.75 -0.6956
-0.74 -0.691
-0.73 -0.6786
-0.72 -0.6782
-0.71 -0.6614
-0.7 -0.6638
-0.69 -0.6328
-0.68 -0.6278
-0.67 -0.62
-0.66 -0.608
-0.65 -0.5922
-0.64 -0.5756
-0.63 -0.5684
-0.62 -0.5612
-0.61 -0.5592
-0.6 -0.5564
-0.59 -0.5378
-0.58 -0.53
-0.57 -0.5226
-0.56 -0.5068
-0.55 -0.5016
-0.54 -0.4828
-0.53 -0.484
-0.52 -0.4636
-0.51 -0.4582
-0.5 -0.4498
-0.49 -0.4482
-0.48 -0.4212
-0.47 -0.4116
-0.46 -0.4006
-0.45 -0.3852
-0.44 -0.3698
-0.43 -0.3744
-0.42 -0.3466
-0.41 -0.3798
-0.4 -0.3448
-0.39 -0.3328
-0.38 -0.3228
-0.37 -0.3084
-0.36 -0.3024
-0.35 -0.3168
-0.34 -0.2848
-0.33 -0.2572
-0.32 -0.2622
-0.31 -0.2466
-0.3 -0.246
-0.29 -0.252
-0.28 -0.2272
-0.27 -0.2006
-0.26 -0.2006
-0.25 -0.203
-0.24 -0.1826
-0.23 -0.1524
-0.22 -0.1628
-0.21 -0.1484
-0.2 -0.1346
-0.19 -0.1354
-0.18 -0.1328
-0.17 -0.1108
-0.16 -0.1024
-0.15 -0.0916
-0.14 -0.1008
-0.13 -0.0622
-0.12 -0.0564
-0.11 -0.0466
-0.1 -0.0554
-0.09 -0.034
-0.08 -0.0372
-0.07 -0.0208
-0.06 -0.01
-0.05 -0.0054
-0.04 0.008
-0.03 0.0332
-0.02 0.0468
-0.01 0.0414
7.5287e-16 0.053
0.01 0.0588
0.02 0.0642
0.03 0.0714
0.04 0.0836
0.05 0.101
0.06 0.11
0.07 0.109
0.08 0.154
0.09 0.1348
0.1 0.1448
0.11 0.1692
0.12 0.1648
0.13 0.1818
0.14 0.1834
0.15 0.2088
0.16 0.1964
0.17 0.2194
0.18 0.2268
0.19 0.2386
0.2 0.2592
0.21 0.2534
0.22 0.245
0.23 0.2878
0.24 0.3062
0.25 0.3058
0.26 0.3142
0.27 0.304
0.28 0.3208
0.29 0.3222
0.3 0.3492
0.31 0.364
0.32 0.3478
0.33 0.3592
0.34 0.371
0.35 0.3868
0.36 0.3888
0.37 0.4054
0.38 0.4182
0.39 0.4212
0.4 0.4348
0.41 0.461
0.42 0.449
0.43 0.4686
0.44 0.474
0.45 0.5046
0.46 0.4906
0.47 0.516
0.48 0.5022
0.49 0.515
0.5 0.536
0.51 0.5428
0.52 0.5554
0.53 0.5512
0.54 0.5772
0.55 0.5634
0.56 0.5942
0.57 0.6086
0.58 0.6218
0.59 0.6126
0.6 0.6344
0.61 0.63
0.62 0.6544
0.63 0.6416
0.64 0.662
0.65 0.6918
0.66 0.6864
0.67 0.6978
0.68 0.7102
0.69 0.7102
0.7 0.7246
0.71 0.714
0.72 0.7364
0.73 0.7426
0.74 0.7594
0.75 0.7634
0.76 0.7788
0.77 0.7862
0.78 0.7814
0.79 0.798
0.8 0.8082
0.81 0.8304
0.82 0.84
0.83 0.8338
0.84 0.8454
0.85 0.8618
0.86 0.8684
0.87 0.8726
0.88 0.8874
0.89 0.89
0.9 0.8976
0.91 0.9148
0.92 0.9196
0.93 0.9278
0.94 0.9418
0.95 0.9438
0.96 0.9566
0.97 0.9624
0.98 0.9668
0.99 0.974
